Step,episode_reward
1000,-187.4263295600767
2000,-445.8781686549318
3000,-500.23613819705645
4000,-470.01527904780437
5000,-566.0452723498111
6000,-372.2235277217301
7000,-391.9136761766494
8000,-317.32282106425157
9000,-432.31372644284534
10000,-364.9246024750905
11000,-736.8438419904712
12000,-404.2453123943925
13000,-209.75567487324608
14000,-261.90007032768716
15000,-243.79174512027961
16000,-224.29233776998828
17000,-143.145903203626
18000,-365.95111855197905
19000,-211.95404974588925
20000,-227.69436788415172
21000,-317.6844395093142
22000,-14.741148954357676
23000,43.706284106918666
24000,100.02561995415871
25000,102.55997878614964
