Step,episode_reward
1000,-232.3929457923307
2000,-236.72297358840865
3000,-233.68591487439065
4000,-415.92972496302144
5000,-314.5530510168364
6000,-211.85310941602447
7000,-190.1505592060005
8000,-416.43782519205246
9000,-229.2121502320117
10000,-334.42362490226725
11000,-519.5512777106013
12000,-548.1723009368765
13000,-438.2617123115989
14000,-372.3740107117395
15000,-547.3736380613665
16000,-471.018037786929
17000,-533.0881196730394
18000,-676.9505550563482
19000,-167.50079400027784
20000,50.66847119856325
21000,-188.59564740938126
22000,-564.6509758420259
23000,-317.9993851005946
24000,-397.17233490622317
25000,622.7513012020323
26000,1044.5395565954236
27000,254.70781344946872
28000,1515.8716997974211
29000,1577.8257968987923
30000,1770.254943895417
