Step,episode_reward
70,-114.75239594393192
137,-105.69487900972678
1118,-159.96266076105792
1189,-112.10458153014478
1322,-115.77886993765414
1447,-114.7957450705356
1584,-115.31260716060036
1720,-115.21761217436017
1807,-113.10210264054466
1953,-116.63418587829976
3553,-177.41774485073086
3615,-111.85829704030093
3750,-115.8714734380834
3832,-112.47178503945045
3870,-119.36318824424907
3944,-112.09423177168848
4078,-115.06877342789794
4233,-117.84419386688995
4343,-113.87123713138774
4426,-112.54264008621162
4560,-115.85568217622397
4700,-116.34526712723783
4770,-112.40008872707706
4848,-112.32147611306328
4984,-115.23743348375379
5161,-119.95255937625575
5293,-115.53868623878225
5762,-142.1930801044163
5808,-106.40415556472011
5884,-101.96716041987844
5930,-106.75512219124899
5976,-106.30266341239083
6040,-103.24359876139796
6096,-110.13328756235796
6206,-105.76689505828894
6325,-106.80297323502971
6615,-137.01680922813847
6719,-104.0198271059342
6788,-102.96491694804871
6892,-104.15729390131114
6965,-103.14975514790162
7071,-104.62568983111044
7125,-102.03235990871667
7172,-104.01813033544803
7277,-104.27219032124799
7383,-104.31662962075443
7487,-104.07880891297638
7591,-103.82942337976198
7698,-104.23798068869436
7803,-104.03429930085484
7870,-104.15095141646185
7945,-102.65028043413929
8029,-101.81394783802921
8090,-102.18139907793821
8186,-96.59732172822439
8245,-101.29319501338686
8307,-101.56093033178098
8367,-101.68445830201831
8447,-105.37376099874278
8509,-103.12277420606863
8572,-104.29126661310238
8671,-103.84914590220697
8733,-101.41302775427951
8790,-101.48459183977496
8847,-101.42332259200214
8904,-101.37760399839505
8969,-100.86543322234394
9025,-100.1248984527099
9093,-101.345138754408
9155,-103.66339459152752
9214,-103.38791957130772
9270,-106.85201404819591
9314,-106.04847452086271
9374,-102.61372752784773
9439,-100.87278191825719
9484,-105.02659118059225
9540,-104.7530436920707
9581,-103.6874106495672
9653,-102.84286424647068
9728,-101.96119265077981
9797,-102.76328750192107
9866,-103.16896899517822
9916,-103.1225119314045
9966,-102.59462825529134
10019,-101.61937221946296
10108,-104.45172406257164
10170,-102.04009316236659
10269,-102.73919915359163
10378,-103.27327406268448
10433,-104.32705743478266
10500,-101.90024357194304
10554,-105.09036802129287
10605,-106.06447743625101
10669,-101.55000235324886
10719,-105.35289948725173
10776,-101.39697567495976
10836,-101.09373126716521
10886,-103.41802790464403
10935,-104.82729576348429
10988,-105.11938174697617
11037,-104.40785457816087
11089,-103.35779260122784
11136,-103.99056724700702
11186,-105.62866922891463
11247,-101.46239255188907
11302,-101.7583632472241
11350,-103.83585939442817
11405,-101.50336151794485
11453,-103.39968265059017
11512,-101.18752184805415
11566,-103.45049960456396
11624,-101.38021566507825
11674,-103.63099443533504
