Step,episode_reward
7,7.0
15,8.0
18,3.0
23,5.0
34,11.0
37,3.0
40,3.0
44,4.0
49,5.0
52,3.0
58,6.0
61,3.0
73,12.0
76,3.0
82,6.0
85,3.0
91,6.0
94,3.0
98,4.0
118,20.0
123,5.0
129,6.0
132,3.0
136,4.0
144,8.0
148,4.0
152,4.0
163,11.0
167,4.0
170,3.0
174,4.0
181,7.0
192,11.0
196,4.0
200,4.0
203,3.0
206,3.0
211,5.0
215,4.0
218,3.0
223,5.0
228,5.0
234,6.0
238,4.0
248,10.0
251,3.0
256,5.0
264,8.0
271,7.0
274,3.0
278,4.0
289,11.0
295,6.0
299,4.0
305,6.0
309,4.0
314,5.0
317,3.0
324,7.0
327,3.0
330,3.0
333,3.0
345,12.0
352,7.0
355,3.0
361,6.0
367,6.0
372,5.0
375,3.0
379,4.0
382,3.0
386,4.0
397,11.0
401,4.0
410,9.0
413,3.0
418,5.0
421,3.0
424,3.0
431,7.0
437,6.0
447,10.0
450,3.0
454,4.0
459,5.0
463,4.0
472,9.0
477,5.0
487,10.0
495,8.0
501,6.0
504,3.0
508,4.0
516,8.0
519,3.0
523,4.0
526,3.0
532,6.0
536,4.0
544,8.0
547,3.0
552,5.0
560,8.0
567,7.0
571,4.0
576,5.0
580,4.0
602,22.0
605,3.0
610,5.0
613,3.0
621,8.0
624,3.0
637,13.0
645,8.0
648,3.0
655,7.0
659,4.0
662,3.0
665,3.0
668,3.0
671,3.0
675,4.0
683,8.0
704,21.0
712,8.0
716,4.0
719,3.0
723,4.0
726,3.0
731,5.0
738,7.0
741,3.0
747,6.0
751,4.0
755,4.0
759,4.0
764,5.0
768,4.0
772,4.0
778,6.0
782,4.0
787,5.0
791,4.0
794,3.0
803,9.0
812,9.0
818,6.0
830,12.0
838,8.0
842,4.0
845,3.0
853,8.0
859,6.0
864,5.0
867,3.0
878,11.0
885,7.0
889,4.0
895,6.0
898,3.0
905,7.0
916,11.0
925,9.0
935,10.0
939,4.0
944,5.0
954,10.0
959,5.0
963,4.0
971,8.0
975,4.0
980,5.0
983,3.0
992,9.0
995,3.0
998,3.0
1008,10.0
1012,4.0
1016,4.0
1020,4.0
1024,4.0
1028,4.0
1032,4.0
1036,4.0
1040,4.0
1044,4.0
1048,4.0
1052,4.0
1056,4.0
1060,4.0
1064,4.0
1068,4.0
1072,4.0
1076,4.0
1080,4.0
1084,4.0
1088,4.0
1092,4.0
1096,4.0
1100,4.0
1104,4.0
1108,4.0
1112,4.0
1116,4.0
1120,4.0
1124,4.0
1128,4.0
1132,4.0
1136,4.0
1140,4.0
1144,4.0
1148,4.0
1152,4.0
1156,4.0
1160,4.0
1164,4.0
1168,4.0
1172,4.0
1176,4.0
1180,4.0
1184,4.0
1188,4.0
1192,4.0
1196,4.0
1200,4.0
1204,4.0
1208,4.0
1212,4.0
1216,4.0
1220,4.0
1224,4.0
1229,5.0
1233,4.0
1237,4.0
1241,4.0
1245,4.0
1249,4.0
1253,4.0
1257,4.0
1261,4.0
1265,4.0
1269,4.0
1274,5.0
1278,4.0
1282,4.0
1286,4.0
1290,4.0
1294,4.0
1298,4.0
1302,4.0
1306,4.0
1310,4.0
1314,4.0
1318,4.0
1322,4.0
1326,4.0
1330,4.0
1334,4.0
1338,4.0
1342,4.0
1346,4.0
1350,4.0
1354,4.0
1358,4.0
1362,4.0
1366,4.0
1370,4.0
1374,4.0
1378,4.0
1382,4.0
1386,4.0
1390,4.0
1394,4.0
1398,4.0
1402,4.0
